Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-06-01T01:44:45+00:00,,,53.600836,-2.156739,,,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T02:09:18+00:00,,,53.477021,-2.238683,,,Asian or Asian British - Bangladeshi (A3),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T02:09:29+00:00,,,53.477021,-2.238683,,,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T02:30:24+00:00,,,53.492796,-2.521188,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-01T02:34:17+00:00,,,53.384277,-2.118761,,,Mixed - White and Black Caribbean (M1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-01T10:30:56+00:00,,,53.362505,-2.273249,,,Asian or Asian British - Pakistani (A2),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-01T11:27:21+00:00,,,53.524570,-2.193638,,,White - White British (W1),,,Article for use in theft,Suspect arrested,,
Person search,2015-06-01T11:28:13+00:00,,,53.524570,-2.193638,,,White - White British (W1),,,Article for use in theft,,,
Person search,2015-06-01T11:28:25+00:00,,,53.545117,-2.632994,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-01T11:28:44+00:00,,,53.524570,-2.193638,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-01T11:29:06+00:00,,,53.524570,-2.193638,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-01T15:19:18+00:00,,,53.517586,-2.234040,,,White - Any other White ethnic background (W9),,,,Suspect summonsed to court,,
Person search,2015-06-01T16:46:31+00:00,,,53.487328,-2.299566,,,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-01T16:57:15+00:00,,,53.549913,-2.005501,,,White - White British (W1),,,Article for use in theft,Suspect arrested,,
Person search,2015-06-01T23:52:02+00:00,,,53.595624,-2.433399,,,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-02T03:18:35+00:00,,,53.462761,-2.207259,,,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T03:33:30+00:00,,,53.387673,-2.244316,,,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-02T03:38:24+00:00,,,53.526116,-2.118163,,,White - White British (W1),,,Article for use in theft,Suspect arrested,,
Person search,2015-06-02T06:52:49+00:00,,,53.528673,-2.576977,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-02T11:59:17+00:00,,,53.560286,-2.456181,,,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-02T12:14:24+00:00,,,53.516589,-2.242404,,,,,,Stolen goods,Suspect arrested,,
Person search,2015-06-02T14:25:45+00:00,,,53.380144,-2.267499,,,White - White British (W1),,,Controlled drugs,Suspect summonsed to court,,
Person search,2015-06-02T18:12:08+00:00,,,53.621359,-2.168411,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,,,
Person search,2015-06-02T18:12:31+00:00,,,53.620812,-2.167320,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,,,
Person search,2015-06-02T18:12:52+00:00,,,53.620812,-2.167320,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-02T18:18:01+00:00,,,53.620812,-2.167320,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-06-02T20:24:58+00:00,,,53.528203,-2.581300,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-02T22:29:59+00:00,,,53.478830,-2.588400,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-02T22:30:15+00:00,,,53.478830,-2.588400,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-02T22:51:40+00:00,,,53.491902,-2.249196,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-03T01:15:48+00:00,,,53.553208,-2.620737,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-03T01:42:25+00:00,,,53.528669,-2.127010,,,White - White British (W1),,,,,,
Person search,2015-06-03T02:36:29+00:00,,,53.526260,-2.251721,,,Black or Black British - Caribbean (B1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-03T02:37:09+00:00,,,53.526260,-2.251721,,,Mixed - White and Black Caribbean (M1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-03T03:07:00+00:00,,,53.500578,-2.517545,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-03T03:07:20+00:00,,,53.500578,-2.517545,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-03T06:23:26+00:00,,,53.546785,-2.623511,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T07:13:37+00:00,,,53.483161,-2.117320,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T07:18:30+00:00,,,53.483161,-2.117320,,,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-06-03T08:59:00+00:00,,,53.497156,-2.518875,,,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-03T11:53:15+00:00,,,53.510250,-2.239442,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-03T12:39:39+00:00,,,53.579467,-2.432297,,,White - White British (W1),,,Article for use in theft,,,
Person search,2015-06-03T12:41:22+00:00,,,53.570065,-2.121940,,,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-03T12:42:33+00:00,,,53.502585,-2.242822,,,Mixed - White and Black Caribbean (M1),,,Controlled drugs,,,
Person search,2015-06-03T13:06:19+00:00,,,53.501974,-2.229129,,,Mixed - White and Black Caribbean (M1),,,Article for use in theft,,,
Person search,2015-06-03T13:22:22+00:00,,,53.506754,-2.243599,,,Mixed - White and Black Caribbean (M1),,,Controlled drugs,,,
Person search,2015-06-03T14:15:01+00:00,,,53.500842,-2.250847,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T15:23:16+00:00,,,53.490829,-2.246718,,,White - White British (W1),,,Article for use in theft,,,
Person search,2015-06-03T16:50:19+00:00,,,53.551443,-2.276986,,,White - White British (W1),,,Controlled drugs,Suspect arrested,,
Person search,2015-06-03T17:23:43+00:00,,,53.495462,-2.509553,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T17:55:12+00:00,,,53.481934,-2.244888,,,Mixed - White and Black Caribbean (M1),,,Stolen goods,,,
Person search,2015-06-03T20:16:31+00:00,,,53.521942,-2.336824,,,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-06-03T22:29:25+00:00,,,53.439798,-2.215697,,,Asian or Asian British - Pakistani (A2),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-03T22:29:51+00:00,,,53.441253,-2.216623,,,Asian or Asian British - Pakistani (A2),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-03T22:30:26+00:00,,,53.441253,-2.216623,,,Asian or Asian British - Pakistani (A2),,,Stolen goods,Nothing found - no further action,,
Person search,2015-06-03T22:46:15+00:00,,,53.581678,-2.432199,,,White - Any other White ethnic background (W9),,,Article for use in theft,,,
Person search,2015-06-03T22:48:39+00:00,,,53.439798,-2.215697,,,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-03T22:52:54+00:00,,,53.587663,-2.449557,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-03T22:53:20+00:00,,,53.587523,-2.448513,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-03T23:11:34+00:00,,,53.620605,-2.153803,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T23:11:59+00:00,,,53.620605,-2.153803,,,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-03T23:12:22+00:00,,,53.620605,-2.153803,,,White - White British (W1),,,Controlled drugs,,,
Person search,2015-06-03T23:56:19+00:00,,,53.610739,-2.398125,,,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-06-04T00:15:30+00:00,,,53.501983,-2.516898,,,White - White British (W1),,,Stolen goods,,,
Person search,2015-06-04T01:21:53+00:00,,,53.495695,-2.513777,,,White - White British (W1),,,Article for use in theft,,,
Person search,2015-06-04T01:27:14+00:00,,,53.487818,-2.593950,,,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-06-04T03:14:32+00:00,,,53.477122,-2.368682,,,White - White British (W1),,,Controlled drugs,,,
