Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
021448e7515b954a51fd23aa0497163df9efe2bb93ae4acfef481f20a710eb5b,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8c0d411816560d036962d95d730c677655577e5c0161f61d0d13a0e738ed39a2,2015-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
269c20c9b7f491e90581561cac1b5921dc95355139515a236c396534c31034f8,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2de3207200b1356701eb1a321b54b3a35deda86b000c57a67343e52335de6cc0,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
6b2e50baad799e10c44af4c48459d70363f231995bc54afd34cdd13eecd537ae,2015-06,South Wales Police,South Wales Police,,,No location,,,Formal action is not in the public interest
9596fb6acab72ff4f0371dfed0f350d381c208f09aab40f346271ad4a742d413,2015-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
d0cd0edd677d48873687eb706685545d223281f9ec8dd1d6b90fbeca895a85a3,2015-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
df9066c324109f058458affcc6d1b064deaefee0fb975603b7979b4a3b76ca10,2015-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
1adf75601c6180c2acda86c32972190c9cc80badea64d6cf87300e835101afd3,2015-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
a715ab53b9c52474189aef82c11cd19313f08b490bcfa5722ea8e2b802b5acd5,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
32f2bd15c50162500f2e5cb036e90d9b97c9842c71f6f240fe6ce6f349bf270b,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3c51fc9ad098d9d022116b1cae5c79226148b5b7890af8d6207b1c44a1eb8b71,2015-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e1cb35853034e1e67721f945861d7573e4f9704ffcb0e6f6cd129f3f1a40f8b4,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
993ee645d0bde78cd58c407c59c9783e74b8d3d875d602e45c52f9036a95cf30,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
6bb8b9dd718d10ac8b4b583a408d92259629c85c0268b9a7b91531cfa8f7da51,2015-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ca068577c593c210d2852fda51c593141b8c08b714d8235130cac12c488c9082,2015-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
72737f49b087b9e70f04995eb1599a08e31584b759ab4f976b2bd2643b21e314,2015-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
c3e82e3f27096167eab0053df9c04ee34a494ce7bf2bf0e10bbaea7960e8ed1c,2015-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
