Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9f568e16a90933141c45a824b5ab626fa7a42b664dd46b07dfdbd55eaf4378be,2015-06,Surrey Police,Surrey Police,,,No location,,,Suspect charged
9f568e16a90933141c45a824b5ab626fa7a42b664dd46b07dfdbd55eaf4378be,2015-06,Surrey Police,Surrey Police,,,No location,,,Suspect charged
9137eaab32c41218e466ca9cfea90e20cbbde6c63136694af90282d353b32066,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
a4947e064fb88d1d43be478a153842eaf45638f217b3cd2c85525c3fc4d8363d,2015-06,Surrey Police,Surrey Police,-0.357351,51.374559,On or near LITTLE ORCHARD CLOSE,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
537d2303a262a8a9069517fcd9ed7e41a851dc334d4410de3e1f116083a265b0,2015-06,Surrey Police,Surrey Police,-0.366162,51.370024,On or near CHURCH STREET,E01030307,Elmbridge 013A,Investigation complete; no suspect identified
7f3a7ed8dfa77e65a1398e1d9a139c23302cee59b70bddfab4131a0ae4291a08,2015-06,Surrey Police,Surrey Police,-0.376055,51.368543,On or near DRAKE'S CLOSE,E01030308,Elmbridge 013B,Investigation complete; no suspect identified
e7096e9579d3ac35d49d248fd8527770e8f8564d903bb3cd640d5a92dcd10f9a,2015-06,Surrey Police,Surrey Police,-0.351231,51.394526,On or near EMBER FARM AVENUE,E01030328,Elmbridge 002C,Investigation complete; no suspect identified
0b47386e912ed66c0191c1c460ce7fd7f82c4d0846ed8474bd3bbc5034319d97,2015-06,Surrey Police,Surrey Police,-0.345806,51.398281,On or near SUMMER ROAD,E01030328,Elmbridge 002C,Investigation complete; no suspect identified
2c796ed7a1db0d6ba508fb0488ab5848c1d853061d3b8f6bc6065b7521a1365a,2015-06,Surrey Police,Surrey Police,-0.343410,51.402932,On or near BRIDGE ROAD,E01030326,Elmbridge 002A,Investigation complete; no suspect identified
4581b1c5a2d78a0b9050a013a71db5781b4ec9d627bf9ccb9650182f218f52b9,2015-06,Surrey Police,Surrey Police,-0.369950,51.380670,On or near SHERRIFF CLOSE,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
74f9780f9874a24e2a58b34fd8d25264f6a4f4187c395330e8582cca18dbf9e7,2015-06,Surrey Police,Surrey Police,-0.365511,51.379826,On or near DOUGLAS ROAD,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
872fa810817a2f4cac904c3ded9d61bde035a1d1af2f8741a8e6eecfaf0f18b9,2015-06,Surrey Police,Surrey Police,-0.372185,51.379658,On or near MILL ROAD,E01030310,Elmbridge 013D,Investigation complete; no suspect identified
9a2cc3e33103494add9d334c7aa9f470007376a550efcdf7db5415eb7190adea,2015-06,Surrey Police,Surrey Police,-0.353771,51.380642,On or near STATION ROAD,E01030370,Elmbridge 009E,Investigation complete; no suspect identified
93e1e212e7724c7f4376f16a3e2382df64440cc800434093837b12cf772b3ca7,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
a7afdc29d7f09987054a15131c9eda6023f098a9aff5c97f49c8ee6cfa9e13d1,2015-06,Surrey Police,Surrey Police,-0.348219,51.387569,On or near ELM TREE AVENUE,E01030370,Elmbridge 009E,Investigation complete; no suspect identified
e9ee3096ffaf9b1e629b0d71447a6070013dd105444fa6a24eb7bac9f9bb3ecd,2015-06,Surrey Police,Surrey Police,-0.398624,51.365257,On or near Supermarket,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
5c32950b0c2e5da390323d2ba18fb18594f17e686bf9d2d6a4b20f847c977b77,2015-06,Surrey Police,Surrey Police,-0.398624,51.365257,On or near Supermarket,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
c62a579ddae8f54ef4b398ae55a15c5d5018b1c98b8037ca95bd4a886ecb7b64,2015-06,Surrey Police,Surrey Police,-0.396715,51.366445,On or near THRUPPS AVENUE,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
feea64c943199db7a1537e3dbfe87f3bb5120037bad98a328af45420487ccad9,2015-06,Surrey Police,Surrey Police,-0.396240,51.368129,On or near Petrol Station,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
977f53d1fd0a17563b79350f457adefa3bbd5169a8c39323dd5864987dad10a4,2015-06,Surrey Police,Surrey Police,-0.402351,51.367142,On or near NORTH ROAD,E01030317,Elmbridge 014E,Investigation complete; no suspect identified
f57d5770c0e51891b979721bab9aa960b08632a5a011d3692ed59e81d2774884,2015-06,Surrey Police,Surrey Police,-0.404325,51.362835,On or near BURWOOD CLOSE,E01030315,Elmbridge 014C,Investigation complete; no suspect identified
587a9c7b68d57e5079938f53769e1000bdc59f4c0fdc8715e401f0412953d2b3,2015-06,Surrey Police,Surrey Police,-0.391652,51.371978,On or near MOLESEY CLOSE,E01030312,Elmbridge 014B,Investigation complete; no suspect identified
dd978c26f77134e405c6777b6671ef77296c4a62019dae78fbcd45deacc5efd4,2015-06,Surrey Police,Surrey Police,-0.390384,51.375341,On or near ASSHER ROAD,E01030312,Elmbridge 014B,Investigation complete; no suspect identified
53ad94e2e266eb1ad391e87539716b3eed562d18c8a51cbd751c711a09fdba5c,2015-06,Surrey Police,Surrey Police,-0.392843,51.370375,On or near CLAREMONT AVENUE,E01030311,Elmbridge 014A,Investigation complete; no suspect identified
50bb773c84dea4879763471c800a8fe15915538f8bec8ed86115b8b0766c9a05,2015-06,Surrey Police,Surrey Police,-0.415928,51.371256,On or near MAYFIELD CLOSE,E01030314,Elmbridge 010B,Investigation complete; no suspect identified
e6c6318f584ea063812d779bf67063f9c302ed9a925625171d30d2aedc434bd1,2015-06,Surrey Police,Surrey Police,-0.404849,51.373399,On or near FELCOTT CLOSE,E01030313,Elmbridge 010A,Investigation complete; no suspect identified
e5d3da4f9c34288a7505edbd7b4736e4d8069d891bbae14a082880676ec092f4,2015-06,Surrey Police,Surrey Police,-0.433986,51.335511,On or near BYFLEET ROAD,E01030318,Elmbridge 014F,Investigation complete; no suspect identified
7cbb0361560436cad8022ef14f9ad61c1f8c2201715cf730efe6b3726f7d45dd,2015-06,Surrey Police,Surrey Police,-0.383089,51.387471,On or near OAKBANK AVENUE,E01030362,Elmbridge 004B,Investigation complete; no suspect identified
2962bacab11062ffc83ce76c40d0fe751dcc398103e24578053004a3877c8e20,2015-06,Surrey Police,Surrey Police,-0.416469,51.394734,On or near ARMSTRONG CLOSE,E01030363,Elmbridge 004C,Investigation complete; no suspect identified
e3aa13bd3999dd51f3f9e9880f37091562813406344c79d79953b36c294dd793,2015-06,Surrey Police,Surrey Police,-0.411900,51.391345,On or near Supermarket,E01030363,Elmbridge 004C,Investigation complete; no suspect identified
