Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5b988ef63cca83bfe17f9b07bc32ad44d72d625c53dcae6d15a48e5a13061082,2015-07,Durham Constabulary,Durham Constabulary,-1.548360,54.521762,On or near HUNTLEY STREET,E01033483,Darlington 008E,Investigation complete; no suspect identified
957fe086cd9d49bdc26b08d556be812666567276a519b9d8d779821aa79842c4,2015-07,Durham Constabulary,Durham Constabulary,-1.516927,54.546076,On or near BEECH ROAD,E01012328,Darlington 003A,Investigation complete; no suspect identified
b26bbb14aad8cc8690ba38d8d6b3d9ebae8edb6d9c942ea02cf00b42a0ca8177,2015-07,Durham Constabulary,Durham Constabulary,-1.561032,54.535802,On or near CHANDOS STREET,E01012362,Darlington 007A,Investigation complete; no suspect identified
e129e41a69e2258cdafe08bee4a6c7009337a906e7395c9c7ebc1d14f394102f,2015-07,Durham Constabulary,Durham Constabulary,-1.548484,54.524513,On or near Theatre/Concert Hall,E01033483,Darlington 008E,Investigation complete; no suspect identified
1c35218fcfd659bcee3bc1a5c425fb493cd7928413661f8d4c379503ed00c972,2015-07,Durham Constabulary,Durham Constabulary,-1.553737,54.524532,On or near CHURCH ROW,E01033484,Darlington 008F,Investigation complete; no suspect identified
2277a29acbb0069adefd67973d8174b2697208cab77bd2528829549340827f4f,2015-07,Durham Constabulary,Durham Constabulary,-1.430631,54.515505,On or near AVIATION WAY,E01012345,Darlington 015D,Investigation complete; no suspect identified
d5518b1d0d585cd18efc6adbca19f95eee2b7a3de5d18114249c8859acab30d0,2015-07,Durham Constabulary,Durham Constabulary,-1.527195,54.516370,On or near WESTMINSTER ROAD,E01012318,Darlington 013B,Investigation complete; no suspect identified
916592c851d1d10d484ab73cd73f2bfd8b5b8a5a478473af484e37adf2bb8981,2015-07,Durham Constabulary,Durham Constabulary,-1.553314,54.547726,On or near LONGFIELD ROAD,E01012323,Darlington 002C,Investigation complete; no suspect identified
c1faee236263278cb3bcb3e19738c8194f032463fee30a1a5018b6eb3cb05717,2015-07,Durham Constabulary,Durham Constabulary,-1.547808,54.524196,On or near PARKGATE,E01033483,Darlington 008E,Investigation complete; no suspect identified
79bffba1747a132051898c5b395c9cf4262a2cbb2ebd40850df0d4b51d1d6ffc,2015-07,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
413f3c9445f2473a2c643427aa861115bf335e7ef2272da1270591f530ede325,2015-07,Durham Constabulary,Durham Constabulary,-1.545092,54.550284,On or near ELMCROFT,E01032545,Darlington 002E,Investigation complete; no suspect identified
c994cb98546b695f867bac28e778766548adc70983f92b8aee9ef5acc8cd3cca,2015-07,Durham Constabulary,Durham Constabulary,-1.603763,54.606109,On or near HILL FIELDS,E01020846,County Durham 063E,Investigation complete; no suspect identified
805434561b4974c5dc511d9187fee40ebf4e82277a88f9a7e3f4d3a5fde4e57e,2015-07,Durham Constabulary,Durham Constabulary,-1.513749,54.527326,On or near LINGFIELD CLOSE,E01012343,Darlington 009D,Investigation complete; no suspect identified
f52a4565b45463afe5f40f4fbc8e8e0ba094afffaf97b72a4eadbbb1c8b6cb15,2015-07,Durham Constabulary,Durham Constabulary,-1.551994,54.518639,On or near CHATSWORTH TERRACE,E01012356,Darlington 014A,Investigation complete; no suspect identified
e8b49a9c3d3b6a163db54c6ae33854619bb6ccdd7c1fc805550f154f2652093c,2015-07,Durham Constabulary,Durham Constabulary,-1.552881,54.539241,On or near DENMARK STREET,E01012349,Darlington 004A,Investigation complete; no suspect identified
193b6d445035ecca32b68322bdf8da813e135980daedf499fb306a97bedc0a90,2015-07,Durham Constabulary,Durham Constabulary,-1.532955,54.516536,On or near FENBY AVENUE,E01012341,Darlington 012E,Investigation complete; no suspect identified
ef2d864c87fd1c55774b883c5822fec9673ad6958684a833544cd98b0b2d9005,2015-07,Durham Constabulary,Durham Constabulary,-1.548822,54.512022,On or near SHAKESPEARE ROAD,E01012359,Darlington 014D,Investigation complete; no suspect identified
5dc2a4f86e08e256325ef55074d7787f5af9fda176b309d80bcb2f48ef4a1d2d,2015-07,Durham Constabulary,Durham Constabulary,-1.515147,54.534557,On or near MALLORY COURT,E01012327,Darlington 009B,Investigation complete; no suspect identified
1754ff1020e1d618361e35a9071e35f85320e02e2752db25386eacb678604939,2015-07,Durham Constabulary,Durham Constabulary,-1.515147,54.534557,On or near MALLORY COURT,E01012327,Darlington 009B,Investigation complete; no suspect identified
dd8cccaa45793577667c85c5621221abb3b9d3ad41d92408d8797a35949e732f,2015-07,Durham Constabulary,Durham Constabulary,-1.581365,54.531812,On or near STAINDROP CRESCENT,E01012347,Darlington 011C,Investigation complete; no suspect identified
f6edaa6a71d6d4e55e20957cd6888441faf7cba10d1fa26df462e136dd5de7a0,2015-07,Durham Constabulary,Durham Constabulary,-1.520858,54.515357,On or near WARREN CLOSE,E01012319,Darlington 013C,Investigation complete; no suspect identified
af54cd99d67978f627b3bc4a717208043f693347a015ab5f58b9e8900585bdd7,2015-07,Durham Constabulary,Durham Constabulary,-1.570448,54.538343,On or near BRINKBURN AVENUE,E01012311,Darlington 006C,Investigation complete; no suspect identified
99d2b86e64bc00bbacc03283939e52c3206ac962e9ea08b4c867f303c1fd0037,2015-07,Durham Constabulary,Durham Constabulary,-1.571335,54.537807,On or near BRINKBURN DRIVE,E01012311,Darlington 006C,Investigation complete; no suspect identified
8fad1ceb9b14aa587d224b6c01e515a5fda108e828a362786b2f5e9d379b59b0,2015-07,Durham Constabulary,Durham Constabulary,-1.515147,54.534557,On or near MALLORY COURT,E01012327,Darlington 009B,Investigation complete; no suspect identified
328dc752393edc8fbcb5e68489b35752a6641330f383b0029f49f64792d22b10,2015-07,Durham Constabulary,Durham Constabulary,-1.546153,54.531307,On or near DUMFRIES STREET,E01012307,Darlington 009A,Investigation complete; no suspect identified
a7990852037c6973a0939d918eaa6a5a74c1b5182cc7515f961d642464ec3deb,2015-07,Durham Constabulary,Durham Constabulary,-1.518083,54.521484,On or near YARM ROAD,E01012343,Darlington 009D,Investigation complete; no suspect identified
c92c2aa811d891d4047b1bfaac0dec114587d2c6376a1a319e0b1d0f0dfca7ba,2015-07,Durham Constabulary,Durham Constabulary,-1.594656,54.526950,On or near Supermarket,E01012348,Darlington 011D,Investigation complete; no suspect identified
8c0d49520e959277e6faa1838ba615dcff4254968da6593ecd78ae63146f790e,2015-07,Durham Constabulary,Durham Constabulary,-1.501408,54.520607,On or near Conference/Exhibition Centre,E01012366,Darlington 001D,Investigation complete; no suspect identified
2fda42188be9695f9e1b822998e90cec94563c3a3d1febbc642717b79de9bff6,2015-07,Durham Constabulary,Durham Constabulary,-1.583111,54.542413,On or near TIMOTHY HACKWORTH DRIVE,E01033481,Darlington 001E,Investigation complete; no suspect identified
de4c6861a2548f318e5beacb0f577dd6e3b2aa6c058b5e911fbf9a751ca445b5,2015-07,Durham Constabulary,Durham Constabulary,-1.556401,54.526807,On or near KING STREET,E01033484,Darlington 008F,Investigation complete; no suspect identified
f226de55f90b4ba5bd822051b8603f608ff2eee1e64cd12f34c2b3ad96d08a2b,2015-07,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
7bb2326d0239fa045cea6bf7b7c5c90ca7495d43e96ff84cf2d5b57781f3603d,2015-07,Durham Constabulary,Durham Constabulary,-1.590271,54.537477,On or near ROSEDALE CRESCENT,E01012313,Darlington 006E,Investigation complete; no suspect identified
1b4a7103ccbddaac7c91b6c9006fd4ae6c3c44977d1ef201fd6197d3c145b8af,2015-07,Durham Constabulary,Durham Constabulary,-1.520776,54.544780,On or near AUGUSTA CLOSE,E01012328,Darlington 003A,Investigation complete; no suspect identified
7cabd33356449eeb05222f891485dccd90e418b8ecdaa3e889ee8e7b0f86e99e,2015-07,Durham Constabulary,Durham Constabulary,-1.549305,54.535588,On or near Shopping Area,E01012307,Darlington 009A,Investigation complete; no suspect identified
934f7803050d7cf710f73c9766f46da4a584855e1d06f0dd0b59cee53a950a8d,2015-07,Durham Constabulary,Durham Constabulary,-1.558312,54.522958,On or near Shopping Area,E01033484,Darlington 008F,Investigation complete; no suspect identified
3a31b0b07f499ddb71998c26873a8d74b4e7d11f9c14cbb37f25e534fc496b37,2015-07,Durham Constabulary,Durham Constabulary,-1.545092,54.550284,On or near ELMCROFT,E01032545,Darlington 002E,Investigation complete; no suspect identified
64629f5a7ed6798e2b162191e3d52d187790d2646a051622eb58cbb77b264140,2015-07,Durham Constabulary,Durham Constabulary,-1.565752,54.532260,On or near HOLLYHURST ROAD,E01012355,Darlington 008D,Investigation complete; no suspect identified
2f41d6bab29b3fdaf5662b6429bfacde7b95845500755dbd87af2cbb4e170551,2015-07,Durham Constabulary,Durham Constabulary,-1.537294,54.516697,On or near HEADLAM ROAD,E01012340,Darlington 012D,Investigation complete; no suspect identified
fc5f5b03aba3093a7f6c63aa33d18730c68ee813a507291c36af02899423a89d,2015-07,Durham Constabulary,Durham Constabulary,-1.559095,54.523402,On or near CONISCLIFFE ROAD,E01033484,Darlington 008F,Investigation complete; no suspect identified
716af39ba572ad78575f292ed3ad4c383c794b6fb9d89e4c2d4a8768941ab65a,2015-07,Durham Constabulary,Durham Constabulary,-1.555571,54.523532,On or near HOUNDGATE,E01033484,Darlington 008F,Investigation complete; no suspect identified
d87be1419554e2ff8a1fa21d134008379c615dd041c530c5e1f83d0d3455d270,2015-07,Durham Constabulary,Durham Constabulary,-1.503338,54.516877,On or near PIONEER COURT,E01012366,Darlington 001D,Investigation complete; no suspect identified
6cd277027f3b6e1ee30aa67454bebd441cf55cf8d0ddc0231387b2243b868fbb,2015-07,Durham Constabulary,Durham Constabulary,-1.553737,54.524532,On or near CHURCH ROW,E01033484,Darlington 008F,Investigation complete; no suspect identified
d19c0929381ba9d54d9a6ba290577be431da67208a2fe9b8cebdb6cdfbe0ccee,2015-07,Durham Constabulary,Durham Constabulary,-1.556401,54.526807,On or near KING STREET,E01033484,Darlington 008F,Investigation complete; no suspect identified
c8623ecd671fbb408f6e7b7d0743536d994491381996a9bb052025e400f09e07,2015-07,Durham Constabulary,Durham Constabulary,-1.547808,54.524196,On or near PARKGATE,E01033483,Darlington 008E,Investigation complete; no suspect identified
eb6593510eb3eb535d51b421c980996a54bbc98f094e7ac0663b554ab0288699,2015-07,Durham Constabulary,Durham Constabulary,-1.550079,54.521355,On or near VICTORIA ROAD,E01012356,Darlington 014A,Investigation complete; no suspect identified
ee9ee1b72ef4936bc6928a4c520fdc257479edbcf00f084d6ee120c5a5c5d94d,2015-07,Durham Constabulary,Durham Constabulary,-1.580861,54.534254,On or near COCKERTON GREEN,E01012313,Darlington 006E,Investigation complete; no suspect identified
0e5df3d4428f1bec9814796d2fe2d886a63407084dfc14b61d51e572f997a0e9,2015-07,Durham Constabulary,Durham Constabulary,-1.601982,54.541057,On or near MARRICK AVENUE,E01012314,Darlington 006F,Investigation complete; no suspect identified
8acd7c32d5aa27ae3bcf5491829af431a92fa903c5404ca36d7a72d269ec9e16,2015-07,Durham Constabulary,Durham Constabulary,-1.553737,54.524532,On or near CHURCH ROW,E01033484,Darlington 008F,Investigation complete; no suspect identified
109cbf27695096d1fec4969f2ac9a98cd632b905de70a4b1ce839e10e2197a6b,2015-07,Durham Constabulary,Durham Constabulary,-1.548843,54.545211,On or near PEABODY STREET,E01012350,Darlington 004B,Investigation complete; no suspect identified
1aeb53fc29145ac9c43f1936972ae0a0363a5925d9ba9c24e54ca93b41341b62,2015-07,Durham Constabulary,Durham Constabulary,-1.571591,54.522197,On or near ELTON GROVE,E01012315,Darlington 010A,Investigation complete; no suspect identified
19d0366def4394fba2f8aa006e64c872ca779a90bf99307db1bbe16e3cab031d,2015-07,Durham Constabulary,Durham Constabulary,-1.558489,54.525170,On or near RABY TERRACE,E01033484,Darlington 008F,Investigation complete; no suspect identified
ab8c25f18cce86c408063839e589e83a74d0a283720390d215392604147025f2,2015-07,Durham Constabulary,Durham Constabulary,-1.440376,54.585712,On or near THE GREEN,E01012366,Darlington 001D,Investigation complete; no suspect identified
433b266ef6e898d20336fc59f681537b47761b38f99e0c71619d97a13ab9f106,2015-07,Durham Constabulary,Durham Constabulary,-1.586860,54.547692,On or near JOHN FOWLER WAY,E01033481,Darlington 001E,Investigation complete; no suspect identified
fe16646102ed5fac1f5821be53161fb790c1c0c80dec35122aaaceff102735c5,2015-07,Durham Constabulary,Durham Constabulary,-1.559308,54.529469,On or near SELBOURNE TERRACE,E01012355,Darlington 008D,Investigation complete; no suspect identified
8cc7f377cad8bfdb7f43015c0122ceca17858920b7904f34330edfbd34410542,2015-07,Durham Constabulary,Durham Constabulary,-1.541012,54.519847,On or near BRIGHTON ROAD,E01012305,Darlington 012B,Investigation complete; no suspect identified
eed171041e28c6e54b1671e38d0b46c9f26c31b7184971a183daf5e3f3e4984a,2015-07,Durham Constabulary,Durham Constabulary,-1.571100,54.527776,On or near MILBANK CRESCENT,E01012316,Darlington 010B,Investigation complete; no suspect identified
68727691a1180b6f7da757913d125adf5d39405a9eba9db885b5596b3322b48f,2015-07,Durham Constabulary,Durham Constabulary,-1.559624,54.535958,On or near BARRON STREET,E01012362,Darlington 007A,Investigation complete; no suspect identified
e56bc8569feefcd415e50128f6ba987c39f3ae64498407eae95311e2f995c928,2015-07,Durham Constabulary,Durham Constabulary,-1.581451,54.547503,On or near CHANTRY CLOSE,E01033482,Darlington 001F,Investigation complete; no suspect identified
f0b7d6b1993e16fa3b23a1684040fc8a0741469a7b1466819bdc09501f7a7a7c,2015-07,Durham Constabulary,Durham Constabulary,-1.550966,54.512309,On or near WORDSWORTH ROAD,E01012359,Darlington 014D,Investigation complete; no suspect identified
860fe7bb49e548bdb87421d146942904fe48579dcc8b3fef0d567aa992d5ded8,2015-07,Durham Constabulary,Durham Constabulary,-1.550112,54.511299,On or near RUSKIN ROAD,E01012359,Darlington 014D,Investigation complete; no suspect identified
