Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1915d48d753778ac73b1fbc1b74058703e5754932649f4249893f90af53e35f3,2015-07,Essex Police,Essex Police,,,No location,,,Offender given a caution
4d5e2669bb96ce4dee720db14108896315d42b8830065ba18bd9711f08360705,2015-07,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
df311a79d7b151f20c75132209aad6e4bd334d69ff61f8ab9f04d557c966e956,2015-07,Essex Police,Essex Police,0.063427,51.675222,On or near B172,E01021806,Epping Forest 009A,Investigation complete; no suspect identified
69ca48afb9b532ff74d915e921b187792532d9520534fd11df7a937733c452fd,2015-07,Essex Police,Essex Police,0.693771,51.535831,On or near PALMEIRA AVENUE,E01015851,Southend-on-Sea 015A,Investigation complete; no suspect identified
3b359a400d63e201738ea4d3f32409a6d0e3e4e2dc8c6b2913c7ca89297edf70,2015-07,Essex Police,Essex Police,0.301164,51.620236,On or near BANK PLACE,E01021433,Brentwood 007A,Investigation complete; no suspect identified
0241b9b05809770fe6632ef82c16bc5f62c1ad0cded75c6d08c8b7f3abd7dbc4,2015-07,Essex Police,Essex Police,0.509796,51.741370,On or near WILKINSONS MEAD,E01033142,Chelmsford 005E,Investigation complete; no suspect identified
f83d46c6c4d81511bb465265f19f65e9a48c8cdb4fe6be5d42c888f382ba71f8,2015-07,Essex Police,Essex Police,0.263081,51.867144,On or near CHAPEL FIELDS,E01022091,Uttlesford 006C,Investigation complete; no suspect identified
b9f005bf1e770c8c1d9aada43ab00fdff3db5c0134750eccbab5317033fc8508,2015-07,Essex Police,Essex Police,0.417799,51.863930,On or near STATION ROAD,E01033052,Uttlesford 008F,Investigation complete; no suspect identified
1a86ec213b7d6d7b6921d0786855788f2b07849981ed231c380eb1dca19b301e,2015-07,Essex Police,Essex Police,1.098529,51.772922,On or near BELSIZE AVENUE,E01021988,Tendring 018A,Investigation complete; no suspect identified
22949527be10bbe7d2b1d71a6629833794184b4a6495f5a96d74b84c8dba1eeb,2015-07,Essex Police,Essex Police,0.552410,51.879134,On or near Tofts Walk,E01021365,Braintree 009D,Investigation complete; no suspect identified
435f2a655a82e3eea0dd5b492ca1f4fcecc10e71a0305f5aad58a3609d4c5494,2015-07,Essex Police,Essex Police,0.771709,51.535921,On or near GOLDMER CLOSE,E01015916,Southend-on-Sea 017C,Investigation complete; no suspect identified
dff57ec99334f300ef01763e2cddfc8bfec365f6dd870730f26ed06b1f28bb52,2015-07,Essex Police,Essex Police,0.464151,51.859973,On or near STEVENS LANE,E01022064,Uttlesford 008B,Investigation complete; no suspect identified
517b73bc9ec864c5b4767130037cbdbe67a944b282fca263a5e2c361e4f47844,2015-07,Essex Police,Essex Police,0.617587,51.642573,On or near Parking Area,E01021613,Chelmsford 019C,Investigation complete; no suspect identified
62e3e8cb96ffa371bb23c82562294f49888c33420bb01b8c5a2f7017999531d5,2015-07,Essex Police,Essex Police,0.506326,51.879523,On or near SHALFORD ROAD,E01021405,Braintree 010D,Investigation complete; no suspect identified
7f88dfcb851afe18f172199d78c3061ad363dfb6b79f20ef457dc60e93a7e955,2015-07,Essex Police,Essex Police,0.577550,51.528379,On or near FAIRVIEW,E01021506,Castle Point 008E,Investigation complete; no suspect identified
c4920f0dcced980951087d42e7f40162ccbf0e22ffb76a93b8903c99c5ffdd77,2015-07,Essex Police,Essex Police,0.409055,51.562422,On or near WHEATFIELD WAY,E01021284,Basildon 021E,Investigation complete; no suspect identified
