Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-07-31T23:10:00+00:00,,,52.389526,0.261347,Male,over 34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2015-08-01T13:40:00+00:00,,,54.557513,-3.548941,Male,10-17,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2015-08-01T13:50:00+00:00,,,52.586167,-0.244343,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-08-01T13:54:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-08-01T14:00:00+00:00,,,,,Male,25-34,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-08-01T14:05:00+00:00,,,52.556094,-0.246871,Male,18-24,Not Stated (NS),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2015-08-01T18:00:00+00:00,,,52.215665,0.115466,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-08-01T20:10:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2015-08-01T20:10:00+00:00,,,52.426129,0.095598,Male,18-24,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-08-01T21:37:00+00:00,,,,,Female,10-17,White - White British (W1),,,Offensive weapons,Suspect arrested,,
Person and Vehicle search,2015-08-01T22:42:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,,,
Person search,2015-08-02T23:30:00+00:00,,,52.566175,-0.240951,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-08-03T02:22:00+00:00,,,,,Male,over 34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2015-08-03T09:10:00+00:00,,,54.556538,-3.558399,Male,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2015-08-03T13:20:00+00:00,,,52.562240,-0.260022,Male,over 34,Asian or Asian British - Pakistani (A2),,,Article for use in theft,Nothing found - no further action,,
Person search,2015-08-03T15:00:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2015-08-03T15:35:00+00:00,,,54.807078,-3.389920,Male,18-24,White - White British (W1),,,Controlled drugs,Suspect arrested,,
Person search,2015-08-03T15:35:00+00:00,,,54.807078,-3.389920,Male,18-24,White - White British (W1),,,Controlled drugs,Suspect arrested,,
Person search,2015-08-03T16:20:00+00:00,,,52.331318,0.336813,Male,25-34,White - White British (W1),,,Offensive weapons,Suspect arrested,,
