Year,Quarter,MeasurementVar,MeasurementLevel,MeasurementType,Geography,HouseholdType,Sex,Age,CharacteristicVar,Characteristic,Estimate,StandardError,UnweightedCount
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,Detached house,3.79263089538967,.723739183670929,8526
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,Flats/maisonettes,7.606203536035,1.91518701942444,4552
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,House,5.59139680969442,.651933357957716,28305
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,Other accommodation,0,0,100
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,Semi-detached house,5.28739996378606,.955778564278536,10194
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,accharm3,Terraced house,7.26872148110625,1.41842535715316,9585
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,depremp3,20% least deprived,4.61892817811051,1.32017475185646,6152
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,depremp3,20% most deprived,6.62561561964454,1.26183948450848,5819
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,depremp3,Deciles 3 - 8,6.13685441886569,.906461792550571,18611
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,East Midlands,8.64174270363078,3.71183939503521,3126
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,East of England,4.53535297675336,1.24241017547786,3956
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,England,5.94561054240667,.66012537797177,30582
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,London,4.4347039076636,1.19690593766638,3307
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,North East,8.32778598238833,3.08895238480359,2118
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,North West,4.68921643510887,1.20372192537097,3893
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,South East,4.40805537345887,1.44914017734979,4316
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,South West,6.43265549952148,2.74519030038947,3699
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,Wales,4.70302176921208,1.47343876064844,2733
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,West Midlands,6.61284838747825,2.08465734087387,3180
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,gor,Yorkshire and The Humber,9.14486108498609,2.18482438909915,2987
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Full-time students,9.50685920005395,7.11234927486935,419
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Intermediate occs,4.77733300880164,1.04792977150819,7361
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Managerial and professional occs,4.54863721441254,.660168321118287,12672
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Never worked and long term unemployed,8.93205627735653,3.35639125401327,1005
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Not classified,10.3814228334653,7.85458885847373,281
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,h10sec4a,Routine and manual occs,7.46610757200764,1.42933648499255,11577
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive,8.04888681906679,1.42844566327219,12802
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive: long-term/temp sick/ill,23.8389692688519,7.65630296176257,1342
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive: looking after family/home,28.9709023152949,11.5146574477973,916
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive: other,0,0,285
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive: retired,3.96569274913726,.909780521307969,9953
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Economically inactive: student,4.02130747218285,4.01662884173331,306
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Employed,4.60662942166265,.57120332542991,19942
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hemploy2a,Unemployed,5.76634676934768,3.41750134965523,524
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,16-24,13.4090915455992,4.40105662697708,1002
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,25-34,8.99250759024457,2.11678365091345,4215
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,35-44,5.84566025013513,1.86891544247334,5627
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,45-54,6.80392455786545,1.42518393985682,6545
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,55-64,3.79983082396893,.847109112278924,5748
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,65-74,4.26045688680411,1.06154009415616,5620
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpage7,75+,3.1602923308388,1.41136773907647,4558
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpsex,Female,8.82330165068018,1.34479295113069,13580
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,hrpsex,Male,3.8801307711926,.504639945865103,19735
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,incivgrp,High,6.76742904960599,2.62584610238191,1461
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,incivgrp,Low,5.86634077376656,.657026981016289,31496
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Constrained city dwellers,8.26684923233026,1.95877514787509,2268
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Cosmopolitans,9.70541272748074,3.78210262978631,1048
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Ethnicity central,7.3511606438531,2.36555031934711,1465
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Hard-pressed living,8.6141568115809,2.33661769957612,6612
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Multicultural metropolitans,5.58974136538821,1.3185190637746,3697
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Rural residents,3.82844178865253,1.54218431494806,4511
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Suburbanites,3.4891273454002,.732230599419025,7359
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,oa_sup11,Urbanites,4.88283315151095,1.19874525783603,6355
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,rural3,Rural,2.98993162050269,.967355459936001,7572
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,rural3,Urban,6.54663882039883,.739789108564124,25743
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,struct4,Children,4.33620339368424,.847915266962354,6899
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,struct4,Lone parent,18.7742257788729,6.8777143643178,1668
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,struct4,No children,5.50476449139187,.693478536592439,24748
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tenharm,Owners,4.30373367165527,.700677063947151,21752
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tenharm,Private rented sector,8.49960230216,1.57964038350413,5992
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tenharm,Renters,8.59977718790173,1.23773859150575,11422
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tenharm,Social rented sector,8.71992624651956,1.91058090718554,5430
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,Total,Total,5.87642212353858,.628293518356002,33315
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tothhin3,"10,000-19,999",6.58536937445554,1.73305630391108,6804
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tothhin3,"20,000-29,999",3.0722429290704,.913891353479347,5010
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tothhin3,"30,000-39,999",4.50000976915889,1.31285697782491,3738
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tothhin3,"40,000-49,999",6.14850030126385,1.97751780392934,2687
2015,2,albenl_i,Household,Incidence rate,England and Wales,All households, , ,tothhin3,"50,000 or more",3.71019697169713,.829856366579729,5656
