Year,Quarter,MeasurementVar,MeasurementLevel,MeasurementType,Geography,HouseholdType,Sex,Age,CharacteristicVar,Characteristic,Estimate,StandardError,UnweightedCount
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,Detached house,64.97546199,2.584768655,411
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,Flats/maisonettes,58.64912778,2.900919962,422
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,House,60.78012821,1.269586302,1920
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,Other accommodation,100,2.07E-15,2
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,Semi-detached house,63.05627776,2.109714627,665
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,accharm3,Terraced house,56.68828615,2.041341177,844
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,agegrp7,16-24,60.36308865,1.160303876,2377
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,club3,1-3 times,61.81378217,2.293395621,566
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,club3,4+ times,59.76556895,4.222992638,180
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,club3,None,59.9170034,1.403504931,1631
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,depremp3,20% least deprived,68.06727944,2.743269337,384
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,depremp3,20% most deprived,53.13429246,2.440820631,555
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,depremp3,Deciles 3 - 8,60.19841496,1.579901226,1257
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,educat3,Apprenticeship or A/AS level,60.7908699,2.06355431,730
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,educat3,Degree or diploma,59.96886931,2.238502687,650
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,educat3,None,66.70646382,3.956397845,188
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,educat3,O level/GCSE,58.31616191,2.038944836,735
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,educat3,Other,66.63415984,6.522365062,66
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,East Midlands,61.14328137,3.249148427,262
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,East of England,63.2865844,3.611767039,265
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,England,59.98414667,1.198719555,2196
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,London,58.77848319,3.50320343,243
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,North East,65.03878121,4.003776845,164
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,North West,59.48378591,3.416342448,275
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,South East,60.22754969,3.025250063,288
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,South West,62.53416898,3.658005403,239
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,Wales,67.49042837,4.190056683,181
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,West Midlands,56.84817952,3.602808054,264
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,gor,Yorkshire and The Humber,55.87400876,4.012551594,196
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,illONS,Disability/illness ONS,48.76730929,3.589101258,255
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,illONS,Limiting disability/illness,44.82031701,4.154430483,182
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,illONS,No disability/illness,61.69209999,1.208039552,2119
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,illONS,Non-limiting disability/illness,57.75331723,6.821046386,73
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,incivgrp,High,53.94446414,4.225961426,181
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,incivgrp,Low,60.98020964,1.214220895,2169
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Cohabiting,61.98089105,2.954146659,327
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Divorced/Legally dissolved partnership,83.62201572,12.23010417,7
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Living as a couple,62.92855926,2.604772492,418
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Married/civil partnered,66.27731454,5.566384815,91
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Not living as a couple,59.91066209,1.280055045,1956
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Separated,49.9434895,30.76147182,3
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,livharm1a,Single,59.87294555,1.281177749,1946
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,nsethgrp,Asian/Asian British,57.79337427,3.855581064,177
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,nsethgrp,Black/African/Caribbean/Black British,60.48344259,5.791375525,92
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,nsethgrp,Mixed/multiple ethnic groups,61.08731849,6.859610998,64
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,nsethgrp,Other ethnic group,61.19685027,9.359222536,32
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,nsethgrp,White,60.70950874,1.267117782,2008
2015,2,catt2,Person,Perception,England and Wales, ,All adults,16-24,oa_sup11,Constrained city dwellers,53.82837974,4.253562283,190
