12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2003,Avon and Somerset,South West,All other theft offences,25959
31/03/2003,Avon and Somerset,South West,Bicycle theft,3090
31/03/2003,Avon and Somerset,South West,Criminal damage and arson,26202
31/03/2003,Avon and Somerset,South West,Domestic burglary,14561
31/03/2003,Avon and Somerset,South West,Drug offences,2308
31/03/2003,Avon and Somerset,South West,Fraud offences to 2012/13,5339
31/03/2003,Avon and Somerset,South West,Homicide,19
31/03/2003,Avon and Somerset,South West,Miscellaneous crimes against society,1597
31/03/2003,Avon and Somerset,South West,Non-domestic burglary,15621
31/03/2003,Avon and Somerset,South West,Possession of weapons offences,735
31/03/2003,Avon and Somerset,South West,Public order offences,4025
31/03/2003,Avon and Somerset,South West,Robbery,3504
31/03/2003,Avon and Somerset,South West,Sexual offences,1737
31/03/2003,Avon and Somerset,South West,Shoplifting,8410
31/03/2003,Avon and Somerset,South West,Theft from the person,2554
31/03/2003,Avon and Somerset,South West,Vehicle offences,41781
31/03/2003,Avon and Somerset,South West,Violence with injury,8567
31/03/2003,Avon and Somerset,South West,Violence without injury,7857
31/03/2003,Bedfordshire,East,All other theft offences,8797
31/03/2003,Bedfordshire,East,Bicycle theft,719
31/03/2003,Bedfordshire,East,Criminal damage and arson,10006
31/03/2003,Bedfordshire,East,Domestic burglary,3784
31/03/2003,Bedfordshire,East,Drug offences,1069
31/03/2003,Bedfordshire,East,Fraud offences to 2012/13,3972
31/03/2003,Bedfordshire,East,Homicide,2
31/03/2003,Bedfordshire,East,Miscellaneous crimes against society,780
31/03/2003,Bedfordshire,East,Non-domestic burglary,4552
31/03/2003,Bedfordshire,East,Possession of weapons offences,417
31/03/2003,Bedfordshire,East,Public order offences,1023
31/03/2003,Bedfordshire,East,Robbery,997
31/03/2003,Bedfordshire,East,Sexual offences,535
31/03/2003,Bedfordshire,East,Shoplifting,3724
31/03/2003,Bedfordshire,East,Theft from the person,1094
31/03/2003,Bedfordshire,East,Vehicle offences,12552
31/03/2003,Bedfordshire,East,Violence with injury,4429
31/03/2003,Bedfordshire,East,Violence without injury,2443
31/03/2003,British Transport Police,British Transport Police,All other theft offences,21711
31/03/2003,British Transport Police,British Transport Police,Bicycle theft,2737
31/03/2003,British Transport Police,British Transport Police,Criminal damage and arson,11334
31/03/2003,British Transport Police,British Transport Police,Domestic burglary,12
31/03/2003,British Transport Police,British Transport Police,Drug offences,2230
31/03/2003,British Transport Police,British Transport Police,Fraud offences to 2012/13,1170
31/03/2003,British Transport Police,British Transport Police,Homicide,4
31/03/2003,British Transport Police,British Transport Police,Miscellaneous crimes against society,1094
31/03/2003,British Transport Police,British Transport Police,Non-domestic burglary,1260
31/03/2003,British Transport Police,British Transport Police,Possession of weapons offences,734
31/03/2003,British Transport Police,British Transport Police,Public order offences,2817
31/03/2003,British Transport Police,British Transport Police,Robbery,2242
31/03/2003,British Transport Police,British Transport Police,Sexual offences,945
31/03/2003,British Transport Police,British Transport Police,Shoplifting,1543
31/03/2003,British Transport Police,British Transport Police,Theft from the person,13096
31/03/2003,British Transport Police,British Transport Police,Vehicle offences,7164
31/03/2003,British Transport Police,British Transport Police,Violence with injury,3386
31/03/2003,British Transport Police,British Transport Police,Violence without injury,3785
31/03/2003,Cambridgeshire,East,All other theft offences,12812
31/03/2003,Cambridgeshire,East,Bicycle theft,3975
